Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
simu,-,Simulation object that generated the Output,0,Simulation,,,,,Output,,getter.get_BH_stator,VERSION,1,Main Output object: gather all the outputs of all the modules
path_res,-,Path to the folder to same the results,0,str,,,,,,,getter.get_BH_rotor,,,
geo,-,Geometry output,0,OutGeo,,,,,,,getter.get_path_result,,,
elec,-,Electrical module output,0,OutElec,,,,,,,getter.get_angle_rotor,,,
mag,-,Magnetic module output,0,OutMag,,,,,,,plot.Structural.plot_force_space,,,
struct,-,Structural module output,0,OutStruct,,,,,,,plot.Magnetic.plot_mesh_field,,,
post,-,Post-Processing settings,0,OutPost,,,,,,,plot.Magnetic.plot_mesh,,,
,,,,,,,,,,,plot.plot_A_time,,,
,,,,,,,,,,,plot.plot_A_space,,,
,,,,,,,,,,,plot.plot_A_time_space,,,
,,,,,,,,,,,plot.plot_A_surf,,,
,,,,,,,,,,,plot.plot_A_cfft2,,,
,,,,,,,,,,,plot.plot_A_nthoctave,,,
,,,,,,,,,,,plot.plot_A_fft2,,,
,,,,,,,,,,,plot.Magnetic.plot_B_space,,,
,,,,,,,,,,,plot.Structural.plot_force_space,,,
,,,,,,,,,,,plot.Magnetic.plot_mesh_field,,,
,,,,,,,,,,,plot.Magnetic.plot_Br_time_compare,,,
,,,,,,,,,,,plot.Magnetic.plot_Br_fft2,,,
,,,,,,,,,,,plot.Magnetic.plot_ASWL,,,
