Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
H0,m,Slot depth,0,float,3.00E-03,0,,,Slot,HoleMag,build_geometry,VERSION,1,V shape slot for buried magnet
H1,m,Distance from the lamination Bore,0,float,0,0,,,,,check,IS_SYMMETRICAL,1,
W1,m,Tooth width (at V bottom),0,float,1.30E-02,0,,,,,comp_alpha,,,
H2,m,Magnet Height,0,float,2.00E-02,0,,,,,comp_mass_magnets,,,
W2,m,Distance Magnet to bottom of the V,0,float,1.00E-02,0,,,,,comp_radius,,,
H3,m,Additional depth for the magnet,0,float,1.00E-02,0,,,,,comp_surface_magnets,,,
W3,m,Magnet Width,0,float,1.00E-02,0,,,,,comp_volume_magnets,,,
W4,rad,Slot angle,0,float,1.00E-02,0,,,,,comp_W5,,,
magnet_0,-,First Magnet,0,Magnet,,,,,,,get_height_magnet,,,
magnet_1,-,Second Magnet,0,Magnet,,,,,,,remove_magnet,,,
