Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
section,,Name of the section,,str,,,
id,,Index of a numbered section,,int,None,,
comment,,Section global comment,,str,,,
_statements,,internal dict to store the sections statements,,dict,,,
_comments,,internal dict to store comments on single statements,,dict,,,
,
Package,Inherit,Methods,Constante Name,Constante Value,Description classe,Classe fille
Elmer,Elmer,__delitem__,VERSION,1,Class to setup a section of an Elmer Solver Input File,
,,__getitem__,,,,
,,__iter__,,,,
,,__len__,,,,
,,__missing__,,,,
,,__reversed__,,,,
,,__setitem__,,,,
,,pop,,,,
,,keys,,,,
,,write,,,,
