Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
slot_list,,List of lamination Slot,,[Slot],,,
alpha,[rad],Angular position of the Slots,,ndarray,,,
sym_dict_enforced,,Dictionary to enforce the lamination symmetry,,dict,None,,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description,Daughter classes
Machine,Lamination,check,VERSION,1,Lamination with list of Slot,
,,comp_radius_mec,,,,
,,comp_surfaces,,,,
,,get_pole_pair_number,,,,
,,plot,,,,
,,comp_height_yoke,,,,
,,get_Zs,,,,
,,comp_periodicity_spatial,,,,
,,get_slot_desc_list,,,,
,,has_slot,,,,
