Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
cell,,Storing connectivity,,{CellMat},,,
node,,Storing nodes,,NodeMat,,,
_is_renum,,True if renumering the nodes and cells is useful when renum method is called (saving calculation time),,bool,0,,
sym,,Spatial symmetry factor,,int,1,,
is_antiper_a,,True if there is a spatial antiperiod,,bool,False,,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description
Mesh,Mesh,get_node,VERSION,1,Gather the mesh storage format
,,get_node_indice,,,
,,get_cell,,,
,,get_mesh_pv,,,
,,get_cell_area,,,
,,get_vertice,,,
,,get_node2cell,,,
,,add_cell,,,
,,renum,,,
,,find_cell,,,
,,interface,,,
,,clear_node,,,
,,clear_cell,,,
