Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
paramexplorer_list,-,List containing ParamExplorer,0,[ParamExplorer],,,
output_list,-,List containing Output (or Xoutput) for each simulation,0,[Output],,,
xoutput_dict,-,dictionary containing DataKeeper,0,{DataKeeper},,,
nb_simu,-,Number of simulations excluding reference simulation,0,int,0,0,
xoutput_ref,-,Xoutput (or Output) of the reference simulation (only if is_keep_all_output is True and not included in output_list),0,Output,None,,
xoutput_ref_index,-,Index of the Xoutput (or Output) of the reference simulation in the output_list (only if is_keep_all_output is True),0,int,None,,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description
Output,Output,__delitem__,VERSION,1,XOutput object: gather all the outputs of all the modules for multiple simulations
,,__getitem__,,,
,,__iter__,,,
,,__len__,,,
,,__missing__,,,
,,__next__,,,
,,__reversed__,,,
,,__setitem__,,,
,,append,,,
,,count,,,
,,get_param_simu,,,
,,get_paramexplorer,,,
,,get_pareto_index,,,
,,get_simu,,,
,,get_symbol_list,,,
,,get_xoutput_ref,,,
,,insert,,,
,,items,,,
,,keys,,,
,,plot_generation,,,
,,plot_multi,,,
,,plot_pareto,,,
,,pop,,,
,,print_memory,,,
,,remove,,,
