Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
Ld,H,Stator winding inductance along d-axis,,float,None,,
Lq,H,Stator winding inductance along q-axis,,float,None,,
Phid,Wb,Stator winding flux along d-axis,,float,None,,
Phiq,Wb,Stator winding flux along q-axis,,float,None,,
Phid_mag,Wb,Stator winding flux along d-axis in open-circuit (rotor flux linkage),,float,None,,
Phiq_mag,Wb,Stator winding flux along q-axis in open-circuit (rotor flux linkage),,float,None,,
,
Package,Inherit,Methods,Constante Name,Constante Value,Description classe,Classe fille
Simulation,EEC,clear_parameters,VERSION,1,Electrical Equivalent Circuit of Permanent Magnet Synchronous Machines,
,,comp_BEMF_harmonics,,,,
,,comp_joule_losses,,,,
,,comp_Ld,,,,
,,comp_Lq,,,,
,,comp_parameters,,,,
,,comp_Phidq,,,,
,,comp_Phidq_mag,,,,
,,comp_torque_sync_rel,,,,
,,solve,,,,
,,solve_PWM,,,,
,,update_from_ref,,,,
