Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
lam_stator,-,Stator Lamination Loss Model,0,LossModel,,,,,Simulation,Simulation,comp_losses,VERSION,1,Gather loss modules loss calculation models
lam_rotor,-,Rotor Lamination Loss Model,0,LossModel,,,,,,,,,,
wind_stator,-,Stator Winding Loss Model,0,LossModel,,,,,,,,,,
wind_rotor,-,Rotor Winding Loss Model,0,LossModel,,,,,,,,,,
mag_stator,-,Stator Magnet Loss Model,0,LossModel,,,,,,,,,,
mag_rotor,-,Rotor Magnet Loss Model,0,LossModel,,,,,,,,,,
windage,-,Windage Loss Model,0,LossModel,,,,,,,,,,
bearing,-,Bearing Loss Model,0,LossModel,,,,,,,,,,
shaft,-,Shaft Loss Model,0,LossModel,,,,,,,,,,
frame,-,Frame Loss Model,0,LossModel,,,,,,,,,,
additional,-,Loss moduale,0,LossModel,,,,,,,,,,
