Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
H0,m,Slot depth,0,float,3.00E-03,0,,,Slot,HoleMag,_comp_point_coordinate,VERSION,1,Rectangular slot for buried magnet
W0,m,Magnet width,0,float,3.00E-03,0,,,,,build_geometry,IS_SYMMETRICAL,1,
H1,m,Magnet height,0,float,0,0,,,,,check,,,
W1,m,Void width,0,float,0.001,0,,,,,comp_alpha,,,
H2,m,Additional depth for the magnet,0,float,2.00E-02,0,,,,,comp_magnetization_dict,,,
magnet_0,-,Magnet of the hole,0,Magnet,,,,,,,comp_radius,,,
R0,m,Void corner radius,0,float,0,0,,,,,comp_surface,,,
,,,,,,,,,,,comp_surface_magnet_id,,,
,,,,,,,,,,,has_magnet,,,
,,,,,,,,,,,plot_schematics,,,
,,,,,,,,,,,remove_magnet,,,
,,,,,,,,,,,get_height_magnet_id,,,
