Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
W0,m,Slot isthmus width.,0,float,1.00E-02,0,,
H0,m,Slot height,0,float,3.00E-02,0,,
is_H0_bore,-,"True to define H0 from top of arc to bore radius, False top arc to middle of W0 segment",0,bool,1,,,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description
Slot,Slot,_comp_line_dict,VERSION,1,Circular slot (for notches)
,,_comp_point_coordinate,IS_SYMMETRICAL,1,
,,_comp_R0,,,
,,build_geometry,,,
,,check,,,
,,comp_angle_opening,,,
,,comp_height,,,
,,comp_height_active,,,
,,comp_surface,,,
,,comp_surface_active,,,
,,comp_surface_opening,,,
,,get_surface_active,,,
,,get_surface_opening,,,
,,plot_schematics,,,
,,convert_to_H0_bore,,,
