Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
H0,m,Slot total height,0,float,0,0,,,Slot,SlotMag,build_geometry,VERSION,1,Flat bottomed SlotMag with adjustable slot opening
H1,m,Slot opening height ,0,float,0,0,,,,,,,,
W0,m/rad,Slot opening width ,0,float,1.00E-02,0,,,,,comp_angle_opening,IS_SYMMETRICAL,1,
W0_is_rad,,"W0 unit, 0 for m, 1 for rad",0,bool,0,,,,,,,,,
W1,m/rad,Slot width (for Magnet) in center of H0,0,float,1.22E-02,0,,,,,,,,
W1_is_rad,,"W0 unit, 0 for m, 1 for rad",0,bool,0,,,,,,,,,
magnet,,List of magnet,0,[MagnetFlat],,,,,,,comp_height,,,
,,,,,,,,,,,comp_surface,,,
,,,,,,,,,,,comp_W0m,,,
,,,,,,,,,,,get_point_bottom,,,
