Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
W3,m,Teeth bottom width,0,float,3.00E-03,0,,,Slot,SlotWind,_comp_point_coordinate,VERSION,1,
H2,m,Slot bottom height,0,float,3.00E-03,0,,,,,build_geometry,IS_SYMMETRICAL,1,
W4,m,Teeth top width,0,float,3.00E-03,0,,,,,build_geometry_active,,,
H1,m,Slot top height,0,float,3.00E-03,0,,,,,check,,,
,,,,,,,,,,,comp_angle_opening,,,
,,,,,,,,,,,comp_height,,,
,,,,,,,,,,,comp_height_active,,,
,,,,,,,,,,,comp_surface,,,
,,,,,,,,,,,comp_surface_active,,,
,,,,,,,,,,,get_surface_active,,,
