Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
W0,m,Slot isthmus width.,0,float,1.22E-02,0,
H0,m,Slot isthmus height.,0,float,1.00E-03,0,
R1,m,Slot edge radius,0,float,3.00E-03,0,
W3,m,Tooth width,0,float,5.00E-03,0,
H3,m,Tooth height,0,float,3.00E-03,0,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description
Slot,Slot,_comp_line_dict,VERSION,1,
,,_comp_point_coordinate,IS_SYMMETRICAL,1,
,,build_geometry,,,
,,check,,,
,,comp_angle_opening,,,
,,comp_height,,,
,,comp_height_active,,,
,,comp_surface,,,
,,comp_surface_opening,,,
,,get_surface_active,,,
,,get_surface_opening,,,
,,plot_schematics,,,
