Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
W1,m,Pole top width,0,float,2.00E-02,0,
W2,m,Pole bottom width,0,float,3.00E-02,0,
H1,m,Pole top height,0,float,5.00E-02,0,
H2,m,Pole bottom height,0,float,1.50E-01,0,
R1,m,Pole top radius,0,float,3.00E-02,0,
H3,m,Top Distance Ploe-coil ,0,float,0,0,
H4,m,Bottom Distance Ploe-coil ,0,float,0,0,
W3,m,Edge Distance Ploe-coil ,0,float,0,0,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description
Slot,Slot,_comp_line_dict,VERSION,1,
,,_comp_point_coordinate,IS_SYMMETRICAL,0,
,,build_geometry,,,
,,build_geometry_active,,,
,,check,,,
,,comp_angle_opening,,,
,,comp_height,,,
,,comp_height_active,,,
,,comp_surface,,,
,,comp_surface_active,,,
,,get_surface_active,,,
,,get_surface_opening,,,
,,plot_schematics,,,
